wof:id,sg:id
202987069,SG_2unYsZTeOAHQYJkj8rBxNI_41.270100_-96.196585@1303262940
202986051,SG_0wARTlmE8iq4MA7d79GNfV_41.140163_-95.931946@1303262940
202986093,SG_1IdASqRqoLkT7KNEf9UObF_41.136498_-95.899131@1303262940
202987019,SG_5oV9qkNetZTFCloSKH9Jt5_41.266485_-96.236370@1303262940
202987157,SG_6069AVefeN9oUSVAKEf9K1_41.129744_-96.196294@1303262940
202986133,SG_0J2WEbxQJfpy17742VGMxn_41.150311_-95.889462@1303262940
202987231,SG_2EUhiehi5Kcs7SgRx2PJXQ_41.163587_-96.232410@1303262940
202986165,SG_6TXNmcFN8JKHpzYUaJnCPe_41.136490_-95.895250@1303262940
202985155,SG_7KAbnhP5usSEsy3WXTf2uv_41.145306_-95.912626@1303262940
202987241,SG_5PdlgfvGDqoeDQ2AMOzVyj_41.146904_-96.237906@1303262940
202987367,SG_0gRZDBmJBErm2gUrr7T7TT_41.145894_-96.239641@1303262940
202985249,SG_1egekgbAvuMruQDXcZx7kj_41.141185_-95.910404@1303262940
202987453,SG_2J0TP6LjM4A7UuVAaJzCj4_41.363804_-96.234271@1303262940
202987565,SG_0kiUGdJ6arRRuDVwvx3Os9_41.435718_-96.495319@1303262940
202986203,SG_3X1qkoiObbVhxFgrnmF3qF_41.151137_-95.927782@1303262940
202987667,SG_5T7GyJlK7001Dz2CbG2ORX_41.434860_-96.497884@1303262940
202987675,SG_7PXha9SWAEpjPbqY2YG4qw_41.456057_-96.438138@1303262940
202986539,SG_5GkW85y7ha5KdYLxPhi8r7_41.282530_-96.237082@1303262940
202986519,SG_5mOsKdBke3iTlKbzD7fsCl_41.262886_-96.241371@1303262940
202985427,SG_4PgCTxVOtWSRoj929F886f_41.154134_-95.927279@1303262940
202986561,SG_4Ot8iC6KiwX5BBduk7I1Pg_41.268594_-96.235035@1303262940
202987717,SG_7lofgNFALgAI2Cs204M1so_41.436895_-96.498364@1303262940
202986573,SG_3R0SNMwXp0TnMLcqRgDPEZ_41.271622_-96.231639@1303262940
202985535,SG_3qOJK65NWmzX0xxbaAB4J1_41.135464_-95.895197@1303262940
202986751,SG_3FqNTV5m2rZWK09iSch75t_41.363184_-96.157102@1303262940
202987763,SG_0gPYqFbOuv3gWNeMN5wOJv_41.139622_-96.248264@1303262940
202985547,SG_12BoItHINjAiEq0j0Ui9D6_41.136509_-95.905556@1303262940
202986757,SG_3dol7ozggwATGijPo3y3eP_41.372110_-96.160364@1303262940
202987813,SG_79ZlFTpoE7WFxNpZOcXDxH_41.134561_-96.253298@1303262940
202986761,SG_5gEr4z8ntRemqldbzB0ssU_41.369038_-96.157219@1303262940
202985593,SG_7ExUbMxYGeT3BbMwvNfa1U_41.173363_-95.925629@1303262940
202987889,SG_1b6neT6Z4fqBXE9qHRayV9_41.044013_-96.250219@1303262940
202986807,SG_25baLfNYvJ17WJGDxbLVvR_41.393141_-96.130153@1303262940
202986817,SG_2fjHRWjUtWSSacTCrZhGXf_41.529940_-96.143413@1303262940
202985673,SG_1ts8yFl0TCaWVp0TjKJUBh_41.151862_-95.917593@1303262940
202986845,SG_45HtEyCGjLxNO1WnXV60kZ_41.341744_-96.196825@1303262940
202985725,SG_60gaQhja5CrxLucACANjau_41.174069_-95.925701@1303262940
202986879,SG_5dMLQlEprBwEXEHlgph49I_41.359204_-96.218654@1303262940
202985743,SG_123HFJFMlzN4gG6XWfpnwv_41.169090_-95.925249@1303262940
202986893,SG_64KsZxeZACLpLPNN55pxTT_41.036598_-96.099800@1303262940
202986957,SG_1cgK0dNcwaOHNUdu9m0874_41.036598_-96.099800@1303262940
202988081,SG_1mcKlhBEubzSxv24yy11iy_41.000874_-96.162006@1303262940
202985767,SG_1cWIsugb43pQJtOrGljHXn_41.176460_-95.926376@1303262940
202988183,SG_5nNMgX27kt0mYhATvMnyAF_41.002154_-96.162190@1303262940
